ra,dec,designation,umag,gmag,rmag,imag,zmag,j_m_2mass,h_m_2mass,k_m_2mass,w1mpro,w2mpro,w3mpro,w4mpro,zsp,broad,src,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag_x,e_gmag,gmagStd,o_gmag,b_gmag_x,B_gmag_xa,gKmag,e_gKmag,gFlags,rPSFf,rmag_x,e_rmag,rmagStd,o_rmag,b_rmag_x,B_rmag_xa,rKmag,e_rKmag,rFlags,iPSFf,imag_x,e_imag,imagStd,o_imag,b_imag_x,B_imag_xa,iKmag,e_iKmag,iFlags,zPSFf,zmag_x,e_zmag,zmagStd,o_zmag,b_zmag_x,B_zmag_xa,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag_x,B_ymag_xa,yKmag,e_yKmag,yFlags,angDist,RAJ2000_x,DEJ2000_x,name,objid_x,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr_x,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd_x,primidd,groupidd,grouptot,OName,Size,angDist_x,JName,ra_x,dec_x,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch_x,mergedClass,angDist_xa
128.0485075,5.1502574,J083211.65+050900.8,21.141,20.872,20.453,20.362,20.094,16.513,15.663,14.73,15.856,14.901,12.576,8.511,1.0700000524520874,3338.0,w2m,114181280485400766,128.04855277082,5.15025710717,0.005,0.005,0.0,1444,28,503636112,60,0.00473395009,0.00474151653,56197.58929842,5,53,6,16,12,12,7,0.998955,20.3904,0.0272,0.0857,6,20.3406,20.5435,20.3751,0.0508,115000,0.999768,19.9708,0.0384,0.3089,10,19.8961,20.6363,20.0511,0.0381,115000,0.99926,20.296,0.0246,0.1623,12,20.2167,20.6573,20.2795,0.068,115000,0.999771,19.963,0.0363,0.2056,10,19.4539,20.0883,19.9081,0.0621,115000,0.9988,19.448,0.0533,0.1635,5,19.2431,19.6535,19.5385,0.0606,115000,0.16232,128.048727,5.15078,GALEX J083211.6+050902,6377952702920396114,6377952702919344128,AIS,127.942948,5.025565,178.05,178.05,220.1027,24.7208,50200,2177,68,0.163645,true,1,0.0292,0,0,,,20.8797,0.2011,,,0.7997,0.2011,,,1.4742,0.2474,,,0.8629,0.2323,0,0,0,0,,,16.1479,2.9896,,,1696.92,2218.31,,13.255,,0.006,0.905,0.0,0.5562,,-14.35,-13.98,,,0.0,11.7554,3.5,0.001383,6.14E-4,,,,132.5,164.4,,,1.35,,,0.53,,C,0,1,6377952702920395776,6377952702920396114,0,1,6377952702920395776,6377952702920396114,6377952702920396114,N,0.0,1.983301,J083211.65+050900.9,128.048564,5.150257,18.936,18.235,17.006,15.732,0.059,0.067,0.051,0.023,433838346957,2,2007.8624,-2,0.040111
139.065351645,6.407175014,addJ091615.68+062425.8,21.004,19.735,18.416,18.091,17.447,16.497,16.184,14.841,14.481,13.647,10.841,8.172,0.341,1453.0,w2m,115681390653429059,139.06534491068,6.40717271634,0.002,0.002,90.0,1446,61,444915712,53,0.00215017904,0.00215017904,56048.590180255,10,57,12,15,11,10,9,0.999443,20.6261,0.0325,0.1061,10,20.4436,20.7421,20.0525,0.0605,16892216,0.999666,19.4185,0.0314,0.1154,14,19.2281,19.582,18.7355,0.0146,16892216,0.999588,19.0998,0.0316,0.086,9,18.9698,19.2402,18.2973,0.0206,16892216,0.999561,18.7663,0.0422,0.2112,8,18.4449,18.9097,17.8798,0.0336,16892216,0.999142,18.5943,0.0508,0.1865,9,18.3175,18.8455,17.7969,0.0468,16892216,0.025473,139.065585,6.40716,GALEX J091615.7+062425,6377847101485744333,6377847101484695552,AIS,139.196043,6.919184,207.0,213.0,224.7888,34.9815,50197,737,23,0.528166,true,1,0.036,0,0,,,21.5783,0.2286,,,1.4983,0.2286,,,1.4239,0.2033,,,1.751,0.4271,0,1,0,0,,,8.48592,1.78641,,,2249.75,695.7,,4.811,,0.002,0.9829,0.0,0.2346,,-43.09,-45.02,,,3.23034,0.73577,3.5,6.78E-4,5.19E-4,,,,163.7,121.0,,,0.75,,,0.31,,C,0,1,6377847101485744128,6377847101485744333,0,1,6377847101485744128,6377847101485744333,6377847101485744333,N,0.0,0.859421,J091615.67+062425.7,139.065324,6.407158,17.845,17.243,16.478,15.681,0.017,0.016,0.026,0.018,433833509467,1,2009.0378,1,0.091434
156.1304603,7.4353548,J102431.31+072607.2,22.676,20.904,19.574,18.998,18.343,16.849,15.857,14.77,12.82,11.579,8.613,6.54,0.3799999952316284,3974.0,w2m,116921561304422893,156.13046578142,7.43533660556,0.003,0.003,90.0,1451,88,512024576,61,0.00257792552,0.00257792552,56277.763817741,10,75,8,14,21,15,17,0.998948,21.332,0.05,0.1432,8,21.173,21.5302,21.0761,0.0588,16892216,0.999612,20.0004,0.0226,0.1168,13,19.7773,20.1537,19.6503,0.0317,16892216,0.999408,19.4928,0.0223,0.1075,16,19.2342,19.6642,19.1521,0.0215,16892216,0.999704,18.8213,0.0167,0.0593,12,18.7245,18.893,18.5983,0.0154,16892216,0.999097,18.8451,0.031,0.1122,13,18.7027,19.0504,18.6243,0.0411,16892216,0.06836,156.130253,7.435278,GALEX J102431.2+072607,6381928478984373268,6381928478983323648,AIS,156.000744,7.767361,203.0,424.05,235.5626,50.0237,50313,449,14,0.356031,true,1,0.0245,0,0,,,23.006,0.4386,,,2.926,0.4386,,,3.0827,0.4953,,,99.0,99.0,0,0,0,0,,,2.27817,0.92015,,,1620.14,1120.92,,7.378,,0.003,0.8443,0.0,0.3788,,84.88,85.03,,,,0.340225,3.5,6.53E-4,4.05E-4,,,,335.3,162.7,,,1.86,,,0.82,,C,0,1,6381928478984373248,6381928478984373268,0,1,6381928478984373248,6381928478984373268,6381928478984373268,N,0.0,0.789044,J102431.31+072607.3,156.130494,7.435377,17.937,17.139,16.046,14.657,0.019,0.015,0.013,0.008,433828962659,1,2010.0153,1,0.177146
157.3270744,1.5313264,J102918.49+013152.7,21.224,20.128,19.15,18.618,18.156,17.092,17.691,14.962,13.494,12.455,9.74,7.312,1.3600000143051147,5380.0,w2m,109831573270908065,157.32707176545,1.53133803011,0.002,0.002,90.0,1361,31,512024576,61,0.00207320789,0.00207294277,56260.058713828,5,59,8,14,15,11,11,0.999715,20.3123,0.0229,0.0589,6,20.2629,20.4278,19.846,0.0483,16892216,0.999915,19.3867,0.015,0.068,14,19.2536,19.4901,19.1404,0.0114,16892216,0.999687,18.9505,0.0184,0.0484,10,18.8954,19.0603,18.631,0.0193,16892216,0.999208,18.7751,0.0259,0.0731,9,18.6441,18.87,18.5015,0.0276,16892216,0.999359,18.1016,0.0326,0.1065,10,17.8335,18.1787,17.9706,0.0457,16892216,0.042928,157.327316,1.531125,GALEX J102918.5+013152,6381928528376498966,6381928528375447552,AIS,157.619528,1.51955,112.0,431.05,243.7935,47.4078,50313,1921,60,0.292338,true,1,0.0436,0,0,,,21.8408,0.3197,,,1.7608,0.3197,,,2.3454,0.268,,,1.8055,0.2955,0,0,0,0,,,6.66335,1.96187,,,2606.87,1932.92,,10.992,,0.005,0.9775,0.0,0.3933,,78.77,81.11,,,10.9921,7.19083,5.37566,9.81E-4,5.95E-4,,,,344.6,105.8,,,1.46,,,0.62,,C,0,1,6381928528376499200,6381928528376498966,0,1,6381928528376499200,6381928528376498966,6381928528376498966,N,0.0,1.167257,J102918.51+013152.7,157.327129,1.531331,17.845,17.204,16.396,15.254,0.019,0.016,0.021,0.017,433852831309,1,2009.1505,1,0.207142
161.1312683,13.8485242,J104431.50+135054.6,21.022,19.662,18.433,18.048,17.712,16.543,15.715,14.922,13.051,11.892,9.002,6.605,0.3019999861717224,1112.2,w2m,124611611313008734,161.13129308557,13.84852187662,0.002,0.002,90.0,1629,41,512024576,61,0.0016029943,0.0016029943,56195.950288003,5,58,8,14,14,13,9,0.999482,19.9926,0.025,0.0592,8,19.9107,20.0605,19.5768,0.024,16892216,0.999662,19.0864,0.0263,0.087,11,19.017,19.2464,18.5544,0.0139,16892216,0.999158,18.7414,0.0192,0.0529,10,18.6693,18.8121,18.1429,0.0161,16892216,0.999654,18.4792,0.0318,0.1394,11,18.2074,18.6045,17.9191,0.025,16892216,0.999578,18.2716,0.0336,0.1085,7,18.1692,18.4459,17.8121,0.0666,16892216,0.087037,161.13124,13.848085,GALEX J104431.4+135053,6381893308570929446,6381893308569878528,AIS,161.160912,13.89227,80.0,274.05,230.6924,57.5776,50312,865,27,0.052746,true,1,0.0305,0,0,,,21.8498,0.3421,,,1.7698,0.3421,,,1.8692,0.2474,,,1.757,0.3952,0,0,0,0,,,6.60814,2.08134,,,1995.39,1804.14,,9.874,,0.004,0.6741,0.0,0.1984,,-69.23,-69.98,,,9.87404,2.95448,4.44102,7.67E-4,6.15E-4,,,,206.4,78.6,,,1.18,,,0.51,,C,0,1,6381893308570929152,6381893308570929446,0,1,6381893308570929152,6381893308570929446,6381893308570929446,N,0.0,1.584468,J104431.51+135054.6,161.131328,13.848517,17.529,16.856,15.876,,0.016,0.014,0.015,,433808482129,1,2010.1136,1,0.123691
165.0783681,8.0820618,J110018.80+080455.3,21.017,20.163,19.41,18.971,18.315,16.64,16.81,14.843,12.855,11.536,8.896,6.616,0.8029999732971191,3580.7,w2m,117691650783548946,165.07837919875,8.08203546659,0.002,0.002,0.0,1542,6,503635968,60,0.0016600743,0.00166633832,56332.651914088,5,74,12,13,19,16,14,0.999533,20.1035,0.0322,0.0973,11,19.9684,20.2389,20.1047,0.0396,115000,0.999665,19.1326,0.0332,0.1156,11,19.0534,19.3788,19.1353,0.0359,16892216,0.999804,18.7285,0.007,0.0346,16,18.6565,18.7927,18.6759,0.0121,16892216,0.999265,18.2795,0.0204,0.107,13,18.1857,18.4677,18.2273,0.0189,115000,0.999412,18.4739,0.0266,0.094,14,18.3904,18.6609,18.4165,0.035,115000,0.102723,165.078643,8.082011,GALEX J110018.8+080455,6381893377290405665,6381893377289355264,AIS,164.751749,8.294782,109.0,445.0,243.6596,57.5321,50312,2913,91,0.387251,true,1,0.035,0,0,,,21.4049,0.1902,,,1.3249,0.1902,,,1.5603,0.1619,,,1.4403,0.2392,0,0,0,0,,,9.95476,1.74301,,,1149.33,1408.21,,12.498,,0.005,0.8809,0.0,0.284,,-45.95,-45.78,,,0.182144,,3.5,0.001027,7.35E-4,,,,344.0,75.5,,,0.79,,,0.38,,C,0,1,6381893377290405888,6381893377290405665,0,1,6381893377290405888,6381893377290405665,6381893377290405665,N,0.0,0.945093,J110018.81+080455.4,165.078378,8.082062,,16.813,16.359,14.996,,0.014,0.021,0.011,433826216016,2,2009.0024,1,0.095643
187.9913404,13.5796477,J123157.92+133446.7,21.291,19.619,18.588,18.084,17.695,16.661,15.873,14.852,13.83,12.893,9.855,7.725,0.1809999942779541,4551.0,w2m,124291879913626075,187.99133050858,13.57963273408,0.002,0.002,90.0,1636,35,512024576,61,0.00180860669,0.00180860669,56058.598417975,5,80,13,18,17,14,18,0.999642,20.1952,0.0262,0.0777,9,20.0719,20.3485,19.5847,0.0219,16892216,0.999732,19.2517,0.0284,0.1543,15,18.9453,19.438,18.6379,0.0097,16892216,0.999659,18.8218,0.0157,0.0555,11,18.7408,18.8979,18.1778,0.0151,16892216,0.99987,18.7367,0.0373,0.1906,10,18.3742,18.9309,17.9606,0.0148,16892216,0.999741,18.2771,0.0433,0.1054,9,18.1121,18.4344,17.7835,0.0292,16892216,0.064038,187.991486,13.579736,GALEX J123157.9+133447,6378902705662857413,6378902705661804544,AIS,187.682069,13.260126,109.0,195.0,283.4117,75.7083,50227,2913,91,0.439013,true,1,0.0327,0,0,,,22.4094,0.4077,,,2.3294,0.4077,,,2.3953,0.4233,,,3.2203,1.5319,0,0,0,0,,,3.94659,1.48179,,,1203.62,2654.46,,7.801,,0.003,0.8393,0.0,0.4814,,72.15,71.46,,,4.53462,2.6212,3.5,7.55E-4,3.91E-4,,,,153.5,87.3,,,1.64,,,0.62,,C,0,1,6378902705662857216,6378902705662857413,0,1,6378902705662857216,6378902705662857413,6378902705662857413,N,0.0,0.657318,J123157.93+133446.7,187.99139,13.57966,17.642,16.821,15.964,14.957,0.021,0.019,0.014,0.01,433809226147,1,2007.2253,1,0.230219
218.5190767,9.5912547,J143404.58+093528.5,22.99,23.001,20.97,19.598,18.744,17.003,16.341,14.905,13.2,11.881,8.778,6.344,0.7699999809265137,3501.8,w2m,119512185190630029,218.51908905958,9.59125784018,0.006,0.006,90.0,1555,34,512024576,61,0.00568243627,0.00568243627,55903.089033072,8,32,0,5,12,6,9,,21.041,,,0,,,,,16420,0.999339,21.1716,0.0197,0.0529,5,21.1096,21.2482,20.7048,0.0248,16892216,0.998921,19.9535,0.0233,0.0942,10,19.7534,20.0513,19.6695,0.0396,16892216,0.999032,19.352,0.0372,0.0661,6,19.226,19.3934,19.1788,0.0471,16892216,0.999174,18.9316,0.0286,0.1297,8,18.8697,19.144,18.7946,0.0703,115000,0.045306,218.519235,9.591714,GALEX J143404.6+093530,6383511830489207115,6383511830488154112,AIS,218.162448,9.446663,224.0,370.05,1.8904,60.1098,50358,2081,65,0.380599,true,1,0.0307,0,0,,,21.4015,0.2103,,,1.3215,0.2103,,,2.0455,0.236,,,1.3563,0.2243,0,0,0,0,,,9.98626,1.93375,,,1066.7,2256.43,,12.392,,0.005,0.7172,0.0,0.3803,,15.47,16.05,,,14.4208,8.25183,3.5,0.001273,7.89E-4,,,,310.2,159.7,,,1.05,,,0.49,,C,0,1,6383511830489206784,6383511830489207115,0,1,6383511830489206784,6383511830489207115,6383511830489207115,N,0.0,1.720875,J143404.58+093528.6,218.519085,9.591292,18.26,17.148,16.245,15.068,0.029,0.015,0.013,0.009,433820213903,1,2007.168,-1,0.12393
220.1802722,4.6552139,J144043.26+043918.7,19.486,19.497,18.922,18.255,17.794,16.444,15.66,14.972,14.231,13.221,9.838,7.419,1.9989999532699585,3395.7,w2m,113582201802556682,220.18024913159,4.65517886579,0.002,0.002,0.0,1466,10,503636112,60,0.00160743274,0.00163507714,56094.809010355,5,65,8,13,17,13,14,0.999704,19.7124,0.0123,0.0422,6,19.6758,19.7717,19.7169,0.0329,115000,0.999696,19.1033,0.0108,0.0453,9,19.0123,19.1663,19.1746,0.0146,115000,0.999823,18.46,0.0134,0.074,13,18.3249,18.5543,18.4586,0.0222,115000,0.999719,18.0312,0.0101,0.0991,9,17.7746,18.0461,18.0933,0.0232,115000,0.999683,17.9074,0.0142,0.0774,14,17.7574,18.0076,17.9624,0.0182,115000,0.150859,220.180475,4.655249,GALEX J144043.3+043918,6383546984798621584,6383546984795471872,AIS,220.176071,4.477873,237.0,237.0,356.9989,55.5994,50359,1185,37,0.17743,true,3,0.0354,0,0,22.1155,0.3828,22.3844,0.471,3.2955,0.3828,2.3043,0.471,3.275,0.3545,2.8801,0.5121,3.0478,0.4105,2.17,0.5151,0,0,0,0,5.17358,1.8236,4.03886,1.75157,1936.91,2334.34,1936.58,2334.36,4.051,3.132,0.002,0.001,0.6256,0.9787,0.14,0.1068,-44.17,-45.07,3.71,3.67,3.08801,1.89344,7.43525,4.24E-4,3.65E-4,4.51742,5.11E-4,4.57E-4,192.3,244.0,0.968,0.44,1.54,1.15,1.84,0.6,0.2,C,0,1,6383546984798621696,6383546984798621584,0,1,6383546984798621696,6383546984798621584,6383546984798621584,N,0.0,0.84832,J144043.26+043918.6,220.180286,4.655183,17.099,16.509,15.86,15.168,0.014,0.013,0.016,0.014,433840391713,1,2008.3993,-1,0.132859
225.4706072,2.1013648,J150152.94+020604.9,21.259,20.006,18.913,18.438,18.104,16.951,16.294,14.982,13.687,12.232,9.183,6.602,1.190000057220459,6543.0,w2m,110522254706592079,225.47060690592,2.10135848885,0.001,0.001,0.0,1378,51,503636112,60,0.0013524419,0.0013741577,56217.198812715,5,83,16,10,22,19,16,0.999674,19.7034,0.012,0.041,10,19.6562,19.7926,19.7973,0.0221,115000,0.999198,18.7385,0.0121,0.0367,7,18.6836,18.7587,18.9109,0.0188,115000,0.999583,18.1934,0.0069,0.0252,19,18.1461,18.2563,18.2453,0.0111,115000,0.999671,17.951,0.018,0.0729,16,17.8862,18.0787,17.9884,0.0156,115000,0.999633,17.7084,0.014,0.1002,16,17.5839,17.9637,17.7543,0.0203,115000,0.022745,225.470252,2.101743,GALEX J150152.8+020606,6382772947937921277,6382772947936870400,AIS,225.934742,2.098988,148.05,148.05,359.8236,49.9871,50337,1761,55,0.464186,true,1,0.0536,0,0,,,21.3877,0.3007,,,1.3077,0.3007,,,1.5218,0.2621,,,1.3388,0.3515,0,0,0,0,,,10.1139,2.80066,,,3011.67,1921.22,,12.628,,0.005,0.0613,0.0,0.337,,21.68,22.68,,,12.6276,2.67185,3.5,0.001078,7.15E-4,,,,124.9,128.0,,,1.36,,,0.52,,C,0,1,6382772947937921024,6382772947937921277,0,1,6382772947937921024,6382772947937921277,6382772947937921277,N,0.0,1.883751,J150152.96+020604.8,225.47068,2.101356,16.953,16.62,15.971,15.169,0.012,0.015,0.014,0.014,433850640179,1,2007.4352,-1,0.263105
