TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?,JNAME,ra_x,dec_x,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,objID,RAJ2000,DEJ2000,errHalfMaj_x,errHalfMin_x,errPosAng_x,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag_x,B_gmag_xa,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag_x,B_rmag_xa,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag_x,B_imag_xa,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag_x,B_zmag_xa,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag_x,B_ymag_xa,yKmag,e_yKmag,yFlags,angDist_x,RAJ2000_x,DEJ2000_x,name,objid_x,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr_x,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd_x,primidd,groupidd,grouptot,OName,Size,angDist_xa
39627751497401912,179.32973373931003,-1.4582813772798109,1.3112,QSO,-0.02155395521484449,0.004490044686165169,2.3475532185119494E-5,45.07751387224435,true,J115719.14-012729.6,179.329788,-1.458238,0.343,0.31,70.0,16.009,14.608,12.144,8.586,,,,0.075,0.072,0.349,0.378,,,,1800001601241020351,0000,0,01nn,AABC,,0.250347,106251793297490521,179.32973736128,-1.45828263968,0.003,0.003,90.0,1277,66,436527256,52,0.00306942623,0.00301241677,56022.882691323,5,56,7,11,16,14,8,0.99924,20.0053,0.0027,0.0803,4,19.8746,20.013,20.1298,0.0483,115000,0.998979,19.5925,0.0101,0.0589,6,19.608,19.6643,19.4774,0.0395,115000,0.999665,19.5628,0.0372,0.1577,15,19.3909,19.9838,19.6378,0.0367,115000,0.999359,19.6023,0.0459,0.1813,10,19.4568,19.9426,19.5696,0.0678,115000,0.998648,19.5869,0.0568,0.2174,8,19.4434,20.0348,19.5324,0.0525,115000,0.242975,179.329886,-1.458247,GALEX J115719.1-012729,6382596970242901501,6382596970241851392,AIS,178.975111,-1.212785,187.0,299.0,276.2733,58.5841,50332,97,3,0.431334,true,1,0.0198,0,0,,,20.342,0.0941,,,0.262,0.0941,,,0.3042,0.0871,,,0.2608,0.1077,0,0,0,0,,,26.4973,2.29535,,,1075.16,1327.81,,4.494,,0.002,0.9835,0.0,0.1139,,-58.5,-68.43,,,10.9732,,3.5,8.11E-4,7.18E-4,,,,242.2,149.6,,,0.54,,,0.15,,C,0,1,6382596970242900992,6382596970242901501,0,1,6382596970242900992,6382596970242901501,6382596970242901501,N,0.0,0.353471
39627752067828959,213.38838906796622,-1.4199210425120636,0.6794,QSO,0.043902415787113735,0.005178780794029923,1.9678258886814096E-5,44.43065875662721,true,J141333.22-012511.6,213.388449,-1.4199,0.209,0.195,86.0,15.645,14.482,12.071,8.881,,,,0.043,0.054,0.236,0.283,,,,2132001601241019338,0000,0,15nn,AABB,,0.22771,106292133884466481,213.38838741935,-1.41992430354,0.002,0.002,90.0,1285,61,436527256,52,0.00202690777,0.00197526034,55961.564511388,5,79,16,11,20,16,16,0.999675,19.0846,0.0384,0.1255,14,18.904,19.3095,19.176,0.0483,115000,0.998914,18.9995,0.0234,0.1526,7,18.9201,19.3268,19.0362,0.0177,115000,0.999288,19.1904,0.02,0.0958,12,19.175,19.3908,19.1675,0.0262,115000,0.999152,18.8839,0.0222,0.2017,15,18.3209,19.2094,18.962,0.0306,115000,0.999619,19.0856,0.0309,0.1505,16,18.8548,19.3342,19.0442,0.0521,115000,0.238268,213.38858,-1.419687,GALEX J141333.2-012510,6379219287702243017,6379219287701192704,AIS,213.445109,-1.371782,71.0,71.0,340.918,55.2769,50236,609,19,0.074085,true,1,0.0563,0,0,,,20.0732,0.1735,,,-0.0068,0.1735,,,0.1413,0.1778,,,0.0503,0.21,0,0,0,0,,,33.9403,5.42319,,,2084.77,1756.03,,6.706,,0.003,0.9836,0.0,0.1579,,-9.2,-9.06,,,10.0906,5.56437,3.5,7.65E-4,6.44E-4,,,,52.8,67.5,,,0.56,,,0.16,,C,0,1,6379219287702243328,6379219287702243017,0,1,6379219287702243328,6379219287702243017,6379219287702243017,N,0.0,0.900668
39627763644108485,183.43472499678055,-0.8992192646795754,1.3218,QSO,0.031044388845391513,0.0,3.6295430948322584E-5,45.11059435239174,true,J121344.36-005357.5,183.434855,-0.899329,0.33,0.307,86.0,15.871,14.495,11.923,8.166,,,,0.06,0.093,,,,,,1830001601241018875,0000,0,11nn,AAUU,,0.612518,106921834346801384,183.43472483626,-0.89921797848,0.005,0.005,0.0,1278,76,436527248,52,0.00455802131,0.00457748591,56042.03224293,5,55,13,11,16,12,3,0.9994,20.5864,0.0505,0.195,10,20.3466,20.9458,20.7087,0.0917,115000,0.999706,20.1656,0.0383,0.1091,11,19.9816,20.335,20.2617,0.0316,115000,0.999405,20.0367,0.0342,0.1272,13,19.844,20.3299,20.0968,0.0406,115000,0.999744,20.0653,0.0566,0.2295,11,19.7856,20.4892,20.1183,0.0685,115000,0.999299,19.739,0.1356,0.3264,3,19.6047,20.1584,19.8637,0.2072,115000,0.615844,183.43488,-0.899199,GALEX J121344.3-005357,6382597007823867995,6382597007822815232,AIS,183.081024,-1.166232,135.0,215.0,283.486,60.5414,50332,1217,38,0.443261,true,1,0.0217,0,0,,,20.8989,0.1496,,,0.8189,0.1496,,,0.8666,0.1371,,,0.9474,0.2017,0,0,0,0,,,15.8655,2.18519,,,1069.09,2584.28,,6.132,,0.003,0.9978,0.0,0.1387,,70.49,69.28,,,10.6575,5.08829,3.5,7.99E-4,6.88E-4,,,,183.1,110.1,,,0.64,,,0.24,,C,0,1,6382597007823867904,6382597007823867995,0,1,6382597007823867904,6382597007823867995,6382597007823867995,N,0.0,0.475513
39627770262716602,217.75689597823057,-0.714351394828137,0.334,QSO,0.11969541548700269,0.0,7.598239140409036E-5,43.74281082875007,true,J143101.73-004251.1,217.75724,-0.714218,0.174,0.165,84.0,15.169,14.379,11.633,8.73,,,,0.037,0.05,0.151,0.3,,,,2178100001241003466,0000,0,21nn,AABB,,1.327132,107142177569233223,217.75689475697,-0.71435118415,0.003,0.003,90.0,1286,80,436527104,52,0.0029504836,0.00294577178,56106.198522279,5,51,10,8,14,9,10,0.999668,19.778,0.1264,0.4733,9,19.5143,20.5034,19.8366,0.1191,115000,0.999658,19.4823,0.0383,0.209,7,19.374,19.8575,19.4167,0.0352,16892216,0.999613,19.5469,0.0426,0.1821,12,19.3022,19.8499,19.4319,0.0523,16892216,0.998998,18.4816,0.0654,0.169,8,18.3051,18.7273,18.4931,0.0515,115000,0.999061,19.2157,0.1195,0.2193,7,18.8359,19.4679,19.1457,0.1426,115000,1.33206,217.756909,-0.714387,GALEX J143101.6-004251,6383547044928160861,6383547044925014016,AIS,218.05984,-0.48788,112.0,112.0,347.6809,53.2761,50359,2977,93,0.378236,true,3,0.0451,0,0,20.0828,0.2017,20.3944,0.1632,1.2628,0.2017,0.3144,0.1632,1.3085,0.2104,0.385,0.1559,1.1614,0.2023,0.3083,0.1937,0,0,0,0,33.6423,6.24949,25.248,3.79506,2593.08,1404.06,2593.3,1403.67,3.62,7.548,0.002,0.003,0.9834,0.9831,0.1997,0.1159,-78.43,-78.72,84.8,84.8,5.22844,2.09753,3.5,8.08E-4,6.46E-4,3.5,6.64E-4,5.87E-4,92.3,83.2,0.747,0.54,0.61,0.77,0.67,0.21,0.09,C,0,1,6383547044928160768,6383547044928160861,0,1,6383547044928160768,6383547044928160861,6383547044928160861,N,0.0,1.336317
39627770296271222,219.7618169592097,-0.6357257230636137,0.1367,GALAXY,,,,42.755054567846685,true,J143902.88-003807.1,219.762009,-0.635316,0.086,0.083,154.0,12.911,12.54,10.72,7.946,15.272,14.574,14.011,0.023,0.025,0.069,0.144,0.093,0.121,0.098,2193100001241001836,0000,1,111n,AAAB,1.829,1.627952,107232197625048156,219.76249224045,-0.63523686868,0.001,0.001,90.0,1287,85,512024576,61,7.1453172E-4,7.1453172E-4,56108.121007343,5,71,14,15,14,15,13,0.99948,18.6187,0.0383,0.1419,14,18.4126,18.8241,17.6263,0.038,16892216,0.99961,17.7416,0.0687,0.1852,11,17.321,17.8902,16.902,0.0137,16892216,0.999091,17.4797,0.027,0.0864,11,17.3634,17.6055,16.4863,0.0224,16892216,0.99917,17.0628,0.0108,0.045,6,16.9751,17.0806,16.1155,0.0208,16892216,0.999663,17.0312,0.02,0.0877,10,16.8861,17.1733,15.9452,0.0149,16892216,1.76273,219.76241,-0.635299,GALEX J143902.9-003807,6383547042778580467,6383547042777530368,AIS,220.086794,-0.501213,119.0,119.0,350.3029,52.0514,50359,2913,91,0.350989,true,1,0.0362,0,0,,,22.1846,0.4286,,,2.1046,0.4286,,,2.428,0.5829,,,99.0,99.0,0,0,0,0,,,4.85468,1.91587,,,2705.64,1615.49,,5.017,,0.002,0.9591,0.0,0.4935,,-19.52,-18.52,,,0.0,73.8706,3.5,6.7E-4,3.39E-4,,,,97.5,86.7,,,1.47,,,0.55,,C,0,1,6383547042778579968,6383547042778580467,0,1,6383547042778579968,6383547042778580467,6383547042778580467,N,0.0,1.444694
39627788335975931,215.12365289121297,0.034299359123966866,1.1207,QSO,-0.0055388860841352194,0.004684153420053063,1.9117145351084264E-5,45.07822465957489,true,J142029.68+000203.5,215.123674,0.03431,0.128,0.12,85.0,15.911,14.555,11.791,8.788,,,,0.054,0.058,0.2,,,,,2147100001241019588,0000,0,11nn,AABU,,0.085592,108042151236371620,215.12365435166,0.03430293584,0.003,0.003,90.0,1376,7,436527256,52,0.00273102485,0.00269255576,56119.222472986,5,65,14,10,20,11,10,0.999717,19.6084,0.0193,0.0565,12,19.5388,19.7327,19.6891,0.0348,115000,0.999676,19.3705,0.0152,0.1784,9,19.3142,19.8434,19.4933,0.0355,115000,0.999201,19.3672,0.0144,0.0621,18,19.25,19.4505,19.4289,0.0224,115000,0.999645,19.561,0.0146,0.097,10,19.5055,19.8087,19.6266,0.0247,115000,0.998835,19.4075,0.0378,0.1259,9,19.3126,19.7292,19.547,0.0567,115000,0.075167,215.123841,0.034613,GALEX J142029.7+000204,6379219276966924388,6379219276963774464,AIS,214.984105,-0.49615,135.0,135.0,344.8874,55.4781,50236,289,9,0.548849,true,3,0.039,0,0,20.6327,0.2753,19.5174,0.0945,1.8127,0.2753,-0.5626,0.0945,1.8664,0.2892,-0.382,0.0945,1.9143,0.3263,-0.5669,0.0988,0,0,0,0,20.273,5.1391,56.6284,4.92888,1583.24,3167.93,1583.53,3168.33,7.617,10.319,0.003,0.004,0.6892,0.9806,0.2713,0.1659,47.77,42.42,-11.78,-11.78,9.73997,2.23433,3.5,0.001104,8.04E-4,3.5,6.63E-4,5.53E-4,107.5,85.5,0.572,0.91,0.57,0.95,0.83,0.17,0.14,C,1,2,6379219276966924288,6379219276966924388+6383547040633193129,1,2,6379219276966924288,6379219276966924388+6383547040633193129,6379219276966924388+6383547040633193129,N,0.0,1.24538
39627836721466661,219.17069165711484,2.061248422446034,0.491,QSO,,,,43.867340134884884,true,J143641.04+020339.8,219.171026,2.061081,0.13,0.12,85.0,15.103,13.846,9.789,6.925,,,,0.036,0.038,0.035,0.065,,,,2193101501241037935,0000,0,1111,AAAA,,1.344919,110472191710463769,219.17103974617,2.06107639171,0.004,0.004,90.0,1377,57,310697984,37,0.00449982347,0.00449982347,56022.488125742,0,46,9,11,12,6,8,0.999762,21.0265,0.0594,0.1491,9,20.9304,21.3196,20.7939,0.0761,16777496,0.999698,20.3636,0.0535,0.1473,8,20.2004,20.6304,19.7813,0.0575,16777496,0.999648,19.7192,0.0512,0.1945,12,19.285,19.9695,19.125,0.0196,16777496,0.999707,19.527,0.0745,0.1501,3,19.3244,19.5447,18.9241,0.0534,16777496,0.999637,19.3672,0.1003,0.2105,8,19.0983,19.6205,18.8634,0.1095,16777496,0.052163,219.171179,2.06118,GALEX J143641.0+020340,6383547017008777641,6383547017007726592,AIS,219.606624,2.001324,112.0,112.0,352.5717,54.4555,50359,2145,67,0.439268,true,1,0.0407,0,0,,,21.8953,0.3881,,,1.8153,0.3881,,,1.7897,0.3519,,,2.0721,0.7691,0,0,0,0,,,6.33673,2.26459,,,2975.21,2050.89,,6.029,,0.003,0.9803,0.0,0.3879,,41.03,42.88,,,3.81146,1.18271,3.5,7.38E-4,4.52E-4,,,,99.8,111.4,,,1.28,,,0.49,,C,0,1,6383547017008777216,6383547017008777641,0,1,6383547017008777216,6383547017008777641,6383547017008777641,N,0.0,0.655385
39627877838225923,150.98655965304286,3.633663849709921,1.3414,QSO,-0.08588831795868623,0.003816573736953238,2.079911852724974E-5,45.299306544505264,true,J100356.77+033801.0,150.986544,3.633628,0.302,0.282,83.0,15.783,14.406,11.508,8.722,,,,0.065,0.065,0.193,,,,,1512103001241033808,0000,0,01nn,AABU,,0.140111,112361509865240846,150.98655940882,3.63366243144,0.003,0.003,0.0,1360,97,436527248,52,0.00326871889,0.00328557421,56151.059968612,5,72,12,17,21,13,9,0.999577,19.6522,0.0166,0.0606,6,19.6109,19.7735,19.7102,0.0373,115000,0.999607,19.7324,0.0124,0.0793,13,19.5309,19.8279,19.8281,0.0454,115000,0.999386,19.6913,0.0183,0.0989,16,19.476,19.9199,19.7559,0.0596,115000,0.999833,19.6948,0.0449,0.1474,10,19.4941,19.9232,19.665,0.0708,115000,0.998955,19.734,0.0887,0.2549,9,19.4677,20.2772,19.7831,0.0769,115000,0.135754,150.986545,3.633677,GALEX J100356.7+033801,6382702567384680780,6382702567381532672,AIS,150.806096,3.654361,195.0,195.0,235.9095,43.6521,50335,1409,44,0.181268,true,3,0.0229,0,0,21.3645,0.225,20.9434,0.1684,2.5445,0.225,0.8634,0.1684,2.549,0.2205,0.8237,0.1485,2.4231,0.2323,0.8097,0.2078,0,0,0,0,10.3321,2.14098,15.228,2.36147,1499.99,1877.12,1500.05,1877.43,3.797,4.066,0.002,0.002,0.9871,0.9831,0.0736,0.2505,-19.94,-19.41,84.46,84.5,4.00394,2.45468,3.69179,6.72E-4,6.22E-4,3.78256,6.88E-4,5.16E-4,150.4,183.8,0.817,0.56,0.61,1.02,0.88,0.21,0.15,C,0,1,6382702567384680448,6382702567384680780,0,1,6382702567384680448,6382702567384680780,6382702567384680780,N,0.0,0.176114
39627927008055838,209.58592813736283,5.639490838639956,0.1575,GALAXY,,,,42.83729119725572,true,J135820.60+053821.6,209.585872,5.639338,0.209,0.194,84.0,15.435,14.85,11.212,9.06,,,,0.041,0.066,0.101,0.39,,,,2096106001241011910,0000,0,000n,AAAC,,0.586473,114762095857187281,209.58566765306,5.63903110035,0.002,0.002,90.0,1464,46,444915712,53,0.00206444364,0.00206444364,56117.943459304,5,60,11,12,13,11,13,0.999357,19.3921,0.0452,0.1725,7,19.2779,19.6967,19.0904,0.019,16892216,0.998981,19.2184,0.0624,0.1303,9,19.0232,19.4073,18.6255,0.0166,16892216,0.999353,18.9964,0.0372,0.1575,11,18.7837,19.2702,18.3678,0.0145,16892216,0.998935,18.9908,0.0212,0.07,7,18.8617,19.0661,18.3274,0.017,16892216,0.999075,18.9574,0.046,0.1403,11,18.7199,19.1722,18.3133,0.0271,16892216,1.325376,209.585692,5.639494,GALEX J135820.5+053822,6378691538229133683,6378691538225987584,AIS,209.62077,6.078756,112.0,112.0,342.458,63.2548,50221,1089,34,0.440645,true,3,0.0274,0,0,20.9907,0.2674,20.7156,0.1881,2.1707,0.2674,0.6356,0.1881,2.1856,0.2711,0.7128,0.176,2.153,0.2993,0.5478,0.2136,0,0,0,0,14.5792,3.59009,18.7824,3.25345,1998.65,847.81,1997.73,849.01,5.39,4.671,0.002,0.002,0.9829,0.9974,0.1429,0.1608,-23.67,-24.89,57.23,57.22,6.45466,3.83648,3.5,7.85E-4,6.73E-4,3.5,6.78E-4,5.69E-4,100.6,112.4,0.0983,1.93,0.67,1.02,0.91,0.25,0.15,C,0,1,6378691538229133312,6378691538229133683,0,1,6378691538229133312,6378691538229133683,6378691538229133683,N,0.0,0.856606
39628346081936841,193.9913925336701,23.84899287147942,0.9756,QSO,0.668676776204018,0.0,2.3408799411966664E-5,45.43333113235507,true,J125557.93+235056.4,193.99141,23.84901,0.118,0.112,102.0,14.645,13.332,10.262,7.97,,,,0.029,0.031,0.066,0.186,,,,1932124201241014424,0000,0,111n,AAAB,,0.084795,136611939913589265,193.99139111108,23.84898957952,0.005,0.005,0.0,1809,92,436527104,52,0.00521641606,0.00525052731,56356.465407027,5,49,4,10,16,9,10,0.999627,21.7354,0.0914,0.2661,4,21.3536,21.9516,21.453,0.1393,115000,0.9994,20.9436,0.0286,0.0945,8,20.8935,21.1703,20.8289,0.0609,115000,0.999658,20.0327,0.0215,0.073,11,19.9321,20.1766,20.0935,0.032,115000,0.998995,19.4013,0.0275,0.177,7,19.002,19.5437,19.4643,0.0647,115000,0.99872,19.0732,0.0507,0.1382,9,18.9164,19.3266,19.0016,0.0748,115000,0.096293,193.991745,23.848929,GALEX J125558.0+235056,6378621143713060124,6378621143712006144,AIS,193.978794,23.45167,198.0,310.0,320.4913,86.5651,50219,321,10,0.397436,true,1,0.0154,0,0,,,22.789,0.4142,,,2.709,0.4142,,,2.7071,0.3989,,,3.4206,1.3801,0,0,0,0,,,2.7823,1.0612,,,1898.16,2886.73,,7.637,,0.003,0.9519,0.0,0.4981,,65.22,65.97,,,3.29878,0.529908,3.5,7.51E-4,3.77E-4,,,,263.7,178.5,,,1.27,,,0.53,,C,0,1,6378621143713059840,6378621143713060124,0,1,6378621143713059840,6378621143713060124,6378621143713060124,N,0.0,1.141075
