target,RA,DEC,gmag_AB,mag_to_enter,exptime_to_enter_s,save_download_as
J204626.10+002337.6,311.608778,0.393795,18.988,19.74,900.0,J204626.10+002337.6.csv
J150746.11+093731.2,226.942139,9.625342,19.129,19.88,900.0,J150746.11+093731.2.csv
TARGETID_39628512285426154,204.61249676144203,31.488779145548964,19.4,20.15,900.0,TARGETID_39628512285426154.csv
TARGETID_39633384095352378,189.1165616120524,59.693368788822525,19.402,20.15,900.0,TARGETID_39633384095352378.csv
J150356.69+125914.3,225.986245,12.987307,19.455,20.21,900.0,J150356.69+125914.3.csv
J144809.53+054019.2,222.039727,5.672016,19.48,20.23,900.0,J144809.53+054019.2.csv
TARGETID_39628516710418961,153.7624460311702,31.70554122193904,19.722,20.47,900.0,TARGETID_39628516710418961.csv
J150357.14+041856.3,225.98811,4.315645,19.742,20.49,900.0,J150357.14+041856.3.csv
J141354.73+110047.5r,213.478071,11.013204,19.844,20.6,900.0,J141354.73+110047.5r.csv
J152259.51+032347.6r,230.747969,3.396561,19.881,20.63,900.0,J152259.51+032347.6r.csv
J143027.14+152514.8,217.613114,15.420809,19.905,20.66,900.0,J143027.14+152514.8.csv
J134039.67+051419.7,205.165295,5.238808,19.944,20.7,900.0,J134039.67+051419.7.csv
J150152.94+020604.9,225.470607,2.101365,20.006,20.76,900.0,J150152.94+020604.9.csv
J115449.31+112705.8,178.705467,11.451632,20.039,20.79,900.0,J115449.31+112705.8.csv
TARGETID_39633426973720698,135.98888628935276,63.46760257911575,20.11,20.86,900.0,TARGETID_39633426973720698.csv
J110018.80+080455.3,165.078368,8.082062,20.163,20.92,900.0,J110018.80+080455.3.csv
J132210.17+084232.9,200.542416,8.709141,20.179,20.93,900.0,J132210.17+084232.9.csv
TARGETID_39633267170738647,168.1081543185948,51.31365653194564,20.252,21.0,900.0,TARGETID_39633267170738647.csv
J150013.42+123645.2,225.055919,12.612562,20.266,21.02,900.0,J150013.42+123645.2.csv
TARGETID_39633136459448983,237.5396082285466,43.21716232642482,20.344,21.1,900.0,TARGETID_39633136459448983.csv
TARGETID_39633149587623462,235.67261608011356,44.04167727341049,20.38,21.13,900.0,TARGETID_39633149587623462.csv
TARGETID_39633325387681000,184.76983939003213,55.358007567620525,20.419,21.17,900.0,TARGETID_39633325387681000.csv
TARGETID_39633396137198490,188.24557855679964,60.64483091315664,20.514,21.27,900.0,TARGETID_39633396137198490.csv
TARGETID_39633432401152732,143.13331950863065,63.96656862951787,20.552,21.3,900.0,TARGETID_39633432401152732.csv
TARGETID_39633325958105931,244.0877145084918,55.272482721591714,20.83,21.58,900.0,TARGETID_39633325958105931.csv
TARGETID_39633162619324602,239.82711978608705,44.87297213069845,20.851,21.6,900.0,TARGETID_39633162619324602.csv
TARGETID_39633387157195822,190.92017609948348,59.96621458301362,21.063,21.81,900.0,TARGETID_39633387157195822.csv
TARGETID_39632946793025886,253.4063567330205,33.32386308652351,21.261,22.01,900.0,TARGETID_39632946793025886.csv
TARGETID_39633311366122701,182.54323179132584,54.324657987216426,21.274,22.03,900.0,TARGETID_39633311366122701.csv
J140658.28+161142.6,211.742836,16.195199,21.517,22.27,900.0,J140658.28+161142.6.csv
TARGETID_39628379145637914,196.26523931296205,25.143506162145663,21.624,22.38,900.0,TARGETID_39628379145637914.csv
TARGETID_39628346081936841,193.9913925336701,23.84899287147942,21.735,22.49,900.0,TARGETID_39628346081936841.csv
TARGETID_39633085267968176,111.8156942907269,40.58307450709765,22.004,22.76,900.0,TARGETID_39633085267968176.csv
J143404.58+093528.5,218.519077,9.591255,23.001,23.75,900.0,J143404.58+093528.5.csv
